Total_n,Quantile,Threshold,n_exceedances,mean,std,skewness,kurtosis,L1,L2,tau3_Lskewness,tau4_Lkurtosis,GPD_shape_Lmoment,GPD_scale_Lmoment,GPD_shape_MLE,GPD_scale_MLE,AD_stat_Lmoment,Bootstrap_pval_Lmoment,AD_stat_MLE,Bootstrap_pval_MLE,LogL_Lmoment,LogL_MLE,AIC_Lmoment,BIC_Lmoment,AIC_MLE,BIC_MLE,Ticker,Sector,Name
745,0.95,0.06341500139733694,38,0.023339051941726485,0.02244777774716392,1.7145781848706219,5.398167775277161,0.023339051941726485,0.011425758451436322,0.3741740998893931,0.22447170898063262,0.08916068180737867,0.019886162181724926,-0.0452994692946018,0.024400201988697707,0.694529945065085,0.574,0.3760769812720355,0.872,104.43858873064838,104.82308226619,-204.87717746129675,-201.602005141844,-205.64616453238,-202.37099221292723,302440.KS,Health Care,SK Bioscience
5206,0.0,0.0,5206,0.02364577904237678,0.026647078915925743,5.3904196859105955,87.62800990785698,0.023645779042376785,0.011549838872446741,0.38835257664911543,0.2546053065462718,0.11888747334320837,0.019143532356002396,0.0578363033049907,0.0222462211811534,117.59076871775778,0.0,68.23047836557089,0.0,14271.647876003186,14304.761204057859,-28539.295752006372,-28526.180617835264,-28605.522408115718,-28592.40727394461,001740.KS,Industrials,SK Networks
5206,0.5,0.016393852289967245,2603,0.022672971435997502,0.030390604231136854,5.779802666462808,90.1440158859317,0.022672971435997502,0.012716949980156378,0.4450365090952299,0.2661024402385594,0.23190384822561286,0.017270480919952595,0.22041418175457797,0.017682465736574962,1.1318792870770267,0.3,0.7972804836367686,0.498,7326.665245342522,7326.961255216757,-14649.330490685044,-14637.601650875054,-14649.922510433515,-14638.193670623525,001740.KS,Industrials,SK Networks
5206,0.55,0.018392337875022757,2343,0.023078867354557737,0.03111534023942612,5.788133911486439,89.28653064056091,0.02307886735455773,0.013020162670534118,0.44648443257363396,0.2660349534744011,0.23467469823849757,0.017590866288716624,0.22996732858506225,0.017798495683776727,0.7033297362122539,0.588,0.6401945258626256,0.596,6557.3670436930015,6557.433464382358,-13110.734087386003,-13099.215712508987,-13110.866928764715,-13099.3485538877,001740.KS,Industrials,SK Networks
5206,0.6,0.020506726146779442,2082,0.023729968938814794,0.031950491100873474,5.797223106438175,88.29784622950872,0.023729968938814794,0.013371032602187118,0.44836454744184784,0.26507639402960914,0.2382643533598361,0.01794361610579517,0.2283672910053868,0.01833733405371433,1.229615291587379,0.25,1.0389271717263,0.33,5767.989031314748,5768.1869857797865,-11531.978062629496,-11520.695894131146,-11532.373971559573,-11521.091803061223,001740.KS,Industrials,SK Networks
5206,0.65,0.023166919205194852,1822,0.024260770681653967,0.03293771948212082,5.7997517932223355,86.99993328158928,0.024260770681653963,0.013803689635989417,0.44829557238390005,0.26391739299818656,0.23813282573529876,0.01852881359444764,0.24465216286580718,0.018394739693260186,0.8992551552810255,0.402,0.8552999672367605,0.468,5012.390905776898,5012.41704936611,-10020.781811553796,-10009.766431398157,-10020.83409873222,-10009.818718576582,001740.KS,Industrials,SK Networks
5206,0.7,0.025956813740480894,1562,0.025299409811968977,0.03409773662058757,5.810919118017717,85.64016196440413,0.025299409811968973,0.014301854131701132,0.45032396299247895,0.2600426609082093,0.2419955113016753,0.019058297468363388,0.23401454233092794,0.01943082265416417,1.074884269590484,0.3,0.9956776471992725,0.406,4228.0535654285795,4228.1726575973735,-8452.107130857159,-8441.39968619636,-8452.345315194747,-8441.637870533948,001740.KS,Industrials,SK Networks
5206,0.75,0.029834477739610496,1302,0.02609527190591216,0.03554400114730495,5.815138705201364,83.81259001654884,0.02609527190591216,0.014950705473885962,0.44994323350134824,0.25146127318544187,0.24127130802167326,0.019950190287027613,0.25761259082294563,0.019503089329762222,0.9826668659527513,0.376,0.7369717829394631,0.518,3488.621273654946,3488.7601493750417,-6973.242547309892,-6962.899233664355,-6973.520298750083,-6963.1769851045465,001740.KS,Industrials,SK Networks
5206,0.8,0.03419129706805513,1041,0.027739155573542545,0.03741788526972641,5.815143324637202,81.42486488271653,0.027739155573542545,0.01583345019617445,0.44302707633942257,0.23813507635170122,0.22804924066501894,0.021657923142927808,0.2491820462702098,0.020963849471927885,1.3379934860845424,0.238,0.942131523577018,0.43,2722.7950740215747,2723.00963320219,-5441.590148043149,-5431.6942739059195,-5442.01926640438,-5432.12339226715,001740.KS,Industrials,SK Networks
5206,0.85,0.04035138550313364,781,0.02983581550137452,0.039902926043220106,5.842702327015315,78.77214821278953,0.029835815501374513,0.01700901227730844,0.42908363195271254,0.21446756387359828,0.20100355880896595,0.024448613994948475,0.24374178136083682,0.02272543385634926,2.570844092158268,0.058,1.322564234274978,0.212,1983.323640098322,1984.0848607711578,-3962.647280196644,-3953.3261298969646,-3964.1697215423155,-3954.8485712426364,001740.KS,Industrials,SK Networks
